id,regija,podregija,barva,alkohol,zamasek,opis,popularnost
17180,California,California,White,12.0,Cork,"Delicately crisp with just a hint of sweetness, Korbel Extra Dry is a supreme blend of the finest premium California grapes, creating a rich, medium-dry cuvée.",2324
118410,Portugal,Vinhos Verdes,White,11.0,Screwtop,,2261
13529,Champagne,Champagne,White,12.0,Cork,,2373
120068,La Rioja,Rioja,Red,13.5,Cork,"Ruby in color, this 100% Tempranillo has an intense and fruity aroma, with hints of caramel and toasted wood aromas. The palate is tasty, balanced and pleasant with light balsamic notes, compote and spices. It is medium bodied with soft tannins and an elegant finish.""
-Importer",2236
118370,Galicia,Ribeira Sacra,Red,13.0,Cork,"Violet tone and red raspberry, medium layer and crystalline. Aromatically is clean and expressive, fruity, fresh, and with a touch of black fruit and pepper. On  the palate, it is very intense, with character, tasty, fruity, good acidity, balanced and  persistent.",2365
119294,Burgundy,Chassagne Montrachet,White,,Cork,"Located immediately south of the village itself, Jacques’s villages-level Chassagne-Montrachet displays more breadth and flesh than the Puligny mentioned above, with a slightly less kinetic and focused mineral element. Still, the wine shows impressive verve, with surprising depth from such young vines."" - Winery ",2220
115548,Burgundy,Corton,Red,13.5,Cork,"This is one of Vincent Ravaut's trademark Grand Cru sites. Located on the hill of Corton, these super old vines deliver fruit of enormous purity. Dense, deep red fruit greets on the palate followed by notes of spearmint, forest floor, mushroom, black pepper, and sandalwood.",2332
118741,Bordeaux,Bordeaux Superior,Red,,Cork,,2298
118770,Bordeaux,White Bordeaux,White,13.5,Cork,,2277
112995,California,Napa,Red,13.8,Cork,"An estate blend, sourced from twelve acres of our Ambassador’s 1953, de Brye and Sessions vineyard blocks, all on rocky clay-loam soils, with an average vine age of nearly 30 years. The complex aromas of dried cherry, blackberry bramble, orange peel, cherry tobacco, cedar, sandalwood, cardamom, pink peppercorn and forest floor give a decidedly autumn impression. Amazingly silky across the palate with sweet red fruits on the mid-palate, plenty of fine textured tannins and a long toasty finish. This is one of the most elegant and approachable Hanzell Vineyards Pinot Noirs in recent memory."" - Winery",2349
119357,Tuscany,Toscana IGT,Red,14.0,Cork,,2430
114458,Mendoza,Mendoza,Red,13.4,Cork,"The wine has a deep cherry red color. Pleasant and elegant aromas, with notes of red berries and marmalade, and a hint of spice. Medium-bodied with delightful fruity notes. Good balance and finish. The wine is from Argentina and is Kosher for Passover."" - Winemaker's Notes ",2060
118133,Rhone,Cotes du Rhone,Rose,12.5,Cork,"This rosé has a silky texture and offers gentle acidity with hints of grapefruit, finishing with a tingle of exotic fruit."" - Winery ""The Les Dauphins brand is inspired by the early 1920s, a time when Paris was enjoying a glorious period of post-war decadence known as Les Années Folles (The Crazy Years!). Art, literature, cinema and music were thriving in France’s capital and these creative minds also fell in love with France’s iconic wines. 
Les Dauphins is crafted by a small network of family winemakers from the Dauphiné region of the Rhône Valley who joined forces to make delicious wines that fueled the creative revolution in bistros across Paris. The Dauphiné supplied countless Parisian restaurants, and became extremely popular thanks to the exuberance and versatility of their wines, which paired beautifully with classic French bistro dishes. Today, Les Dauphins continues to uphold this legacy of excitement and creativity with their fabulous portfolio of excellent red, white and rosé wines from vineyards in the Southern Rhône. Headed up by talented winemaker Guillaume Valli, Les Dauphins favors those traditional grape varieties that have inspired palates for generations; Grenache, Syrah and Mourvèdre. The result? Beautifully balanced, energetic and fruit-driven wines that are the ultimate accompaniment to quiet evenings in and special occasions alike."" - Importer",2125
114918,Port,Late Bottle Vintage,Red,20.0,Cork,"Vivid ruby coloured rim around a deep purple black centre. On the nose, the first impression is of brambly woodland berries and rich, jammy aromas of blackcurrant. Around this dense core of ripe dark berry fruit are leafy scents of mint and wild herbs, a subtle spiciness and fleeting cedary notes of cigar box. The palate is underpinned by firm, linear tannins and lifted by a lively acidity. Thick, luscious cassis flavours blend with raspberry and apricot and carry through into the very long finish. An archetypal Taylor Fladgate Late Bottled Vintage, elegant and restrained, with great quality and purity of fruit. Taylor Fladgate were pioneers of the LBV category, developed to satisfy the demand for a high quality ready-to-drink alternative to Vintage Port for everyday consumption. Unlike Vintage Port, which is bottled after only two years in wood and ages in bottle, LBV is bottled after four to six years and is ready to drink when bottled. Taylor Fladgate continues to lead the LBV category of Port worldwide, in spite of the fact that many other shippers now also produce an LBV. The wines used to blend Taylor Fladgate LBV were drawn from a reserve of some of the best full bodied red Ports, produced at the 2014 harvest, from grapes grown on Taylor’s own vineyards and on other top properties in the Cima Corgo and Douro Superior areas."" - Winery",2172
117099,Tuscany,Brunello di Montalcino,Red,13.5,Cork,"A ruby red color with notes of of vanilla, berries, and spices which provide a long delightful finish. Intense yet harmonious palate with wonderfully balanced tannins.
<br>
-- Winery",2308
118049,California,Central Valley,White,,Cork,"A dynamic blend of six varietals. Like a lively debate among interesting friends, each component has its say.  Exotic scents vie for attention, with night-blooming jasmine, freshly picked ginger and hints of wet slate.  The palate joins in with notes of white peach, juicy apricot, and fresh lemon zest, all with a crisp and clean finish that begs to start again."" - Winery",2021
119855,Tuscany,Toscana IGT,Red,14.0,Cork,,2164
114716,Rhone,Crozes-Hermitage,Red,13.0,Cork,"Stephane’s entry level Crozes-Hermitage is typically lifted, aromatic, elegantly textured and ready to go upon opening. The parcels that produce this spicy, garrique-scented charmer are distributed among the communes Crozes-Hermitage, Erôme and Gervans, always on a granite bedrock but with small pockets of loess topsoil while the rest are topsoils derived from the granite bedrock. It’s a Northern Rhône Syrah that demonstrates elegance, accessibility and great palate texture, which is partly due to its vinification and aging, but equally its soil composition; the airy, fine-grained loess topsoil brings the lift, and granite bedrock the thrust, with its depth, salty, mineral textures and substantial core.""
-Importer",2426
114378,Western Australia,Margaret River,Red,13.5,Screwtop,"The Prelude Vineyards label focuses on the benchmark varietals of the region and represent the first release Chardonnay and Cabernet Sauvignon from Leeuwin Estate each vintage. They are site expressive wines that encase the purity and clarity of fruit with a style that is readily expressive for earlier release. The label celebrates the Estate's association with the musical arts through the staging of the alfresco Leeuwin Concert Series. Lifted, lively and elegant, the nose is a myriad of red cherries, currants, boysenberries and plums. Cumin, dried sage and star anise combine with subtle savoury oak characters. The palate is lively and full of energy with balanced and bright acidity. Currants and red cherries are prominent throughout with hints of clove and mocha present on the mid palate. There is a mineral line towards the finish that meets gently structured talc-like tannins."" - Winery",2133
106179,California,Napa,Red,14.0,Cork,,2099
115949,California,California,Red,13.8,Cork,"The original. Medium-bodied with black cherry, cola, strawberry, plum, and soft tannins. No wonder this Pinot is a favorite. Pastas with light tomato-based sauces, a juicy cheeseburger, grilled salmon, roasted pork tenderloin, or if you're not a cook, drink it on its own.
",2144
113608,Castille and Leon,Rueda,Rose,13.5,Cork,"Valdelosfrailes Rosado (Designation of Origin Cigales) is a fresh, lively and balanced wine made from the grapes of the vineyards owned by the winery in Cubillas de Santa Marta and Quitanilla de Trigueros. It is made with 100% Tempranillo grapes, which although it is an ink variety, is perfect for making this type of wine. Its controlled fermentation makes emerge the intensity of the fruit with floral tones."" - Winery

",2451
17220,California,Mendocino,White,11.5,Cork,,2001
