id,leto,ime,sorta,drzava,velikost,znizana_cena,cena,ocena,ocenjevalec
119920,2019,Julien Sunier Regnie,Gamay,France,750,28.99,35.99,,
118777,2019,Vina Gonzalez Bastias Naranjo Valle De Maule (Orange Wine),Blend,Chile,750,29.99,34.99,,
119906,2019,Izadi Rioja Bianco,Blend,Spain,750,19.99,25.0,,
114983,2016,Lamy Pillot Morgeot Chassagne Montrachet,Pinot Noir,France,750,44.99,60.0,,
118255,2018,Jules Pierre Macon Villages,Chardonnay,France,750,19.99,25.0,,
25325,,Bartenura Prosecco Brut (U),Glera,Italy,750,12.97,19.99,,
117462,2014,Gard Cabernet Grand Klasse Reserve,Cabernet Sauvignon,United States,750,39.99,55.0,92,James Suckling - Jamessuckling.com
119911,2013,Izadi Rioja,Tempranillo / Tinto Fino / Tinta Roriz,Spain,750,19.99,30.0,93,James Suckling - Jamessuckling.com
119076,2019,Alasia Brachetto D'acqui,Brachetto,Italy,750,10.95,13.99,,
116471,2017,Coelheiros Tinto (Aragonez Alicante Bouchet),Blend,Portugal,750,15.99,20.0,90,Mark Squires - Robert Parker&#39;s Wine Advocate
113508,2018,Innocent Bystander Sauvignon Blanc,Sauvignon Blanc,New Zealand,750,12.29,19.99,,
119752,2018,Napa Cellars Chardonnay,Chardonnay,United States,750,16.0,25.99,90,Wine Enthusiast
115028,2015,Castano Hecula Monastrell Yecla,Mourvedre / Mataro / Monastrell / Garrut,Spain,750,9.19,12.0,,
115117,2017,Rileys Rows Chardonnay,Chardonnay,United States,750,29.89,35.0,,
107136,2015,Morgado Cellars Cabernet Sauvignon Sugarloaf Mountain,Cabernet Sauvignon,United States,750,149.99,150.0,95,Jeb Dunnuck - jebdunnuck.com
114454,2016,Owen Roe Sharecropper Merlot,Merlot,United States,750,15.0,19.99,,
116620,2018,Osmote Seneca Lake Riesling,Riesling,United States,750,16.99,19.0,,
114265,2016,Lamy Pillot Saint Aubin Argilliers,Pinot Noir,France,750,33.99,39.99,,
117917,2017,Domaine Collotte Marsannay Les Champsalomon,Pinot Noir,France,750,34.99,42.99,,
119952,2018,Chateau Ferran St. Pierre Bordeaux,Blend,France,750,15.98,20.0,,
21572,,Sutter Home Fre Red,Blend,United States,750,6.99,8.99,,
114391,2018,Pierre Sparr Alsace Riesling,Riesling,France,750,10.95,18.99,,
118652,2017,Domaine Henri Et Didier Delarange Volnay Vv,Pinot Noir,France,750,43.99,50.0,,
112591,2016,Domaine Bryczek Morey Saint Denis Clos Solon,Pinot Noir,France,750,49.99,65.0,,
110511,2017,Iconic Side Kick Cabernet,Cabernet Sauvignon,United States,750,13.98,19.99,,
109420,,Aubry Brut Rose Premier Cru,Blend,France,750,42.95,57.99,92,William Kelley - Robert Parker&#39;s Wine Advocate
119579,2018,Orin Swift Palermo,Cabernet Sauvignon,United States,750,49.01,73.99,,
116535,2016,Fuego Blanco Cabernet Franc Malbec,Blend,Argentina,750,24.5,29.99,92,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
110592,,Gonzalez Byass Oloroso Dulce Solera 1847,Blend,Spain,750,24.98,29.99,91,Wine Enthusiast
114480,2005,Ravaut Corton Grand Cru Haut Mourottes,Pinot Noir,France,750,119.99,139.99,,
105844,2013,Voliero Brunello Di Montalcino,Sangiovese,Italy,750,52.97,60.0,93,Monica Larner - Robert Parker&#39;s Wine Advocate
112630,2012,Celler Pardas Aspriu Tinto Penedes,Blend,Spain,750,39.99,49.99,94,Guía Peñín
114379,2017,Leeuwin Estate Siblings Shiraz,Syrah / Shiraz,Australia,750,18.99,25.99,91,James Suckling - Jamessuckling.com
115339,2016,Krasno Sauvignonasse,Sauvignon Blanc,Slovenia,750,15.99,20.0,,
120066,2018,Clos Palet Vouvray,Chenin Blanc,France,750,12.99,16.0,,
115439,2017,Krupp Bros Chardonnay,Chardonnay,United States,750,59.99,75.99,96,Lisa Perrotti-Brown - Robert Parker&#39;s Wine Advocate
115976,2018,Dr. Konstantin Frank Semi Dry Riesling,Riesling,United States,750,11.9,18.99,,
119789,2019,Yarden Mount Hermon Red Northern Golan,Blend,Israel,750,8.99,13.99,,
55488,,Cupcake Prosecco,Glera,Italy,750,9.99,14.99,84,Cellar Tracker
118611,2019,Ben Haines Chardonnay Yarra Valley,Chardonnay,Australia,750,18.99,25.0,94,Gary Walsh - The Wine Front
113003,2018,Domaine Tariquet Sauvignon Blanc,Sauvignon Blanc,France,750,13.98,16.99,,
117306,2013,Royal Tokaji Szt. Tamas Single Vineyard 6 Puttonyos Aszu,Furmint,Hungary,500,124.99,149.99,10,Wine Enthusiast
117161,2016,Ravines Maximilien Red Blend,Blend,United States,750,21.79,29.99,,
118129,2019,Mistral Vallee Rose,Blend,France,750,9.99,11.99,,
114930,2018,Teperberg Impression Merlot Judean Hills,Merlot,Israel,750,15.95,19.99,,
114171,,Valentin Leflaive Brut Rose,Pinot Noir,France,750,66.99,79.99,93,Wine Enthusiast
118388,2017,Anselmo Mendes Curtimenta,Albarino/Alvarinho,Portugal,750,34.98,39.98,93,Mark Squires - Robert Parker&#39;s Wine Advocate
118374,2018,Robert Biale Black Chicken Zinfandel,Zinfandel,United States,375,29.99,34.99,,
102470,1998,Hafner Tba Chardonnay Barrique,Chardonnay,Austria,375,73.99,99.99,,
114637,2015,Viticcio Bere,Blend,Italy,3,59.99,80.0,,
110597,,Pocas Junior Ruby Port,Blend,Portugal,750,10.39,12.99,,
114813,2018,Marziano Abbona San Luigi Dogliani,Dolcetto,Italy,750,14.98,17.99,90,Antonio Galloni - Vinous
114986,2017,Fleur De California Pinot Noir Carneros,Pinot Noir,United States,750,14.98,19.99,,
118884,2016,Domaine Odoul Coquard Charmes Chambertin Grand Cru,Pinot Noir,France,750,145.99,165.99,91,Neal Martin - Robert Parker&#39;s Wine Advocate
116351,2017,Jezreel Adumim Red,Blend,Israel,750,22.99,29.99,,
115477,2017,Esporao Private Selection White,Semillon,Portugal,750,22.98,25.98,92,Wine Enthusiast
117889,2015,Produttori Del Barbaresco Riserva Ovello Magnum,Nebbiolo,Italy,1,144.99,169.99,97,Wine Enthusiast
118370,2017,Abadia Da Cova Tinto Ecoloxico,Mencia/Jaen,Spain,750,19.99,23.99,,
25220,,Hartley & Gibson Amontillado S,Sherry Varieties,Spain,750,8.97,11.99,,
119254,2016,Bruna Grimaldi Barolo Badarina,Nebbiolo,Italy,750,44.97,90.0,97,Wine Enthusiast
120338,2018,Selbach Oster Zeltinger Schlossberg Beerenauslese Riesling,Riesling,Germany,375,85.99,111.99,95,Stephan Reinhardt - Robert Parker&#39;s Wine Advocate
9846,,Domaine Chandon Brut Rose,Blend,United States,750,17.99,25.99,85,Cellar Tracker
118199,2019,Domaine Moulin La Viguerie 'les Falaises De Braise' Tavel Rose,Blend,France,750,16.99,19.99,,
103844,,Dalva 10 Years Old,Port Varieties,Portugal,375,17.98,22.5,92,Decanter
116284,2017,Cantina Valpantena Valpolicella Ripasso,Blend,Italy,750,11.98,16.99,,
13529,,Krug Grand Cuvee Champagne,Blend,France,750,165.5,237.99,97,Wine Spectator
114174,2017,Domaine De La Pirolette Saint Amour,Gamay,France,750,18.49,24.99,93,Wine Enthusiast
114324,2018,Cuvaison Estate Sauvignon Blanc,Sauvignon Blanc,United States,750,15.39,25.99,92,James Suckling - Jamessuckling.com
114073,,Fitvine Cabernet,Cabernet Sauvignon,United States,750,11.98,14.99,,
110477,2017,Grgich Hills Chardonnay,Chardonnay,United States,375,21.99,27.99,,
119103,2018,Domaine Coillot Bourgogne Rouge,Pinot Noir,France,750,24.99,35.0,,
117401,2018,Barkan Classic Pinot Noir,Pinot Noir,Israel,750,9.99,13.99,,
115950,2017,Robert Mondavi Napa Chardonnay,Chardonnay,United States,750,19.99,28.99,,
114594,2016,Tzuba Cabernet Sauvignon Judean Hills,Cabernet Sauvignon,Israel,750,21.97,26.97,,
118139,2019,Chateau Valcombe Ventoux Rose,Blend,France,750,14.99,19.49,,
118418,2019,Mayr Gruner Veltliner,Gruner Veltliner,Austria,1,12.99,16.98,,
116763,2018,Domaine Jean Marc Burgaud Morgon Grands Cras,Gamay,France,750,18.98,24.99,93,William Kelley - Robert Parker&#39;s Wine Advocate
116430,2017,Bodegas Alto Moncayo Veraton,Grenache / Garnacha,Spain,750,23.99,34.99,,
114450,2018,La Resistance Cotes Du Rhone,Blend,France,750,11.99,19.99,,
107771,,Julien Braud La Bulle De Louest Brut 750ml,Melon,France,750,19.59,25.0,,
117673,2018,Butternut Chardonnay,Chardonnay,United States,750,13.98,17.98,,
119559,2016,Glazebrook Merlot,Merlot,New Zealand,750,15.99,20.0,,
118296,2019,Alpha Estate Sauvignon Blanc,Sauvignon Blanc,Greece,750,18.8,24.99,,
119513,2019,Emmolo Sauvignon Blanc Napa Valley,Sauvignon Blanc,United States,750,19.99,40.0,,
112155,2018,Chateau Gassier Le Pas Du Moine,Blend,France,750,27.99,23.99,91,Wine Enthusiast
118618,2019,Domaine Skouras Zoe Rose,Blend,Greece,750,11.99,15.99,,
115337,2018,Domaine De Clayou Anjou Blanc,Chenin Blanc,France,750,15.99,20.0,,
116830,2017,Domaine Goufier Mercurey La Charmee,Pinot Noir,France,750,35.99,44.0,,
117806,2017,Barton & Guestier Chateauneuf Du Pape,Blend,France,750,31.98,39.99,,
111688,2016,Tabor Adama Cabernet Sauvignon,Cabernet Sauvignon,Israel,750,15.97,21.99,,
119982,2018,Badenhorst Red Blend Secateurs,Blend,South Africa,750,12.99,16.99,,
117442,2017,Albert Mann Riesling Cuvee Albert,Riesling,France,750,26.98,32.99,,
119676,2019,Dalton Canaan Red (U),Blend,Israel,750,12.99,16.99,,
109612,2015,El Coto Rioja Crianza,Tempranillo / Tinto Fino / Tinta Roriz,Spain,375,6.99,11.99,86,Wine Enthusiast
119554,2018,Chateau Blouin,Blend,France,750,10.99,15.0,,
118216,2018,Ruffino Chianti,Sangiovese,Italy,375,4.98,7.99,,
116108,2017,Ancient Peaks Cabernet Sauvignon,Blend,United States,750,14.57,19.99,,
117100,2018,Mouton Noir Opp (Other People's Pinot) Pinot Noir,Pinot Noir,United States,750,15.39,21.99,,
118714,2019,Brokenwood Semillon,Semillon,Australia,750,15.99,25.0,95,James Halliday - Australian Wine Companion
119779,2015,Antoniolo Gattinara,Nebbiolo,Italy,375,22.49,29.99,,
118685,2018,Enroute Russian River Valley Pinot Noir Les Pommiers,Pinot Noir,United States,750,39.99,69.99,,
118142,2019,Bastide Du Claux Luberon Rose,Blend,France,750,15.99,20.79,,
117330,2018,Paul Jaboulet Hermitage La Chapelle,Syrah / Shiraz,France,750,189.99,279.0,98,Joe Czerwinski - Robert Parker&#39;s Wine Advocate
