id,okus
17180,apple
17180,pear
17180,peach
17180,apricot
17180,lemon
17180,lime
17180,orange
17180,pineapple
17180,kiwi
17180,butter
17180,cream
17180,vanilla
17180,honeysuckle
17180,quince
17180,melon
17180,cantaloupe
17180,flower
17180,ripe
17180,cherry
17180,plum
17180,strawberry
17180,raspberry
17180,mushroom
118410,peach
118410,stone
118410,fruit
118410,pear
118410,citrus
13529,ripe
13529,cherry
13529,plum
13529,strawberry
13529,raspberry
13529,mushroom
13529,apple
13529,pear
13529,peach
13529,apricot
13529,lemon
13529,lime
13529,orange
13529,pineapple
13529,kiwi
13529,butter
13529,cream
13529,vanilla
120068,berry
120068,cherry
120068,plum
120068,earth
120068,leather
120068,herb
118370,tobacco
118370,raspberry
118370,cassis
118370,violet
118370,pepper
119294,apple
119294,pear
119294,peach
119294,apricot
119294,lemon
119294,lime
119294,orange
119294,pineapple
119294,kiwi
119294,butter
119294,cream
119294,vanilla
115548,ripe
115548,cherry
115548,plum
115548,strawberry
115548,raspberry
115548,mushroom
118741,currant
118741,black
118741,cherry
118741,plum
118741,bell
118741,pepper
118741,olive
118741,oak
118741,smoke
118741,toast
118741,tar
118741,blackberry
118741,cherry
118741,asparagus
118741,spice
118741,ginger
118741,vanilla
118741,tobacco
118741,raspberry
118741,cassis
118741,violet
118741,pepper
118741,green
118741,bean
118770,grass
118770,gooseberry
118770,grapefruit
118770,lime
118770,melon
118770,citrus
118770,mineral
118770,flint
118770,fig
118770,lemon
118770,pear
118770,saffron
118770,bell
118770,pepper
112995,ripe
112995,cherry
112995,plum
112995,strawberry
112995,raspberry
112995,mushroom
119357,red
119357,fruit
119357,strawberry
119357,raspberry
114458,pepper
114458,earth
114458,green
114458,plum
114458,mocha
114458,currant
118133,black
118133,currant
118133,blackberry
118133,dust
118133,leather
118133,currant
118133,blueberry
118133,strawberry
118133,vanilla
118133,musk
114918,cocoa
114918,honey
114918,vanilla
114918,butterscotch
114918,dark
114918,fruit
114918,spice
114918,earth
114918,perfume
114918,floral
114918,violet
114918,ripe
114918,cherry
114918,peppercorn
114918,cinnamon
114918,plum
114918,red
114918,fruit
114918,berry
114918,cherry
114918,plum
114918,earth
114918,leather
114918,herb
117099,red
117099,fruit
117099,strawberry
117099,raspberry
118049,pear
118049,spice
118049,apple
118049,lemon
118049,lychee
118049,mango
118049,citrus
118049,apricot
118049,acidic
118049,grass
118049,gooseberry
118049,grapefruit
118049,lime
118049,melon
118049,mineral
118049,flint
118049,honey
118049,orange
118049,kiwi
118049,tangerine
118049,peach
118049,pineapple
118049,butter
118049,cream
118049,vanilla
119855,currant
119855,blackberry
119855,cherry
119855,bell
119855,pepper
119855,olive
119855,asparagus
119855,spice
119855,ginger
119855,oak
119855,vanilla
119855,tobacco
119855,raspberry
119855,cassis
119855,violet
119855,pepper
119855,green
119855,bean
114716,currant
114716,blueberry
114716,blackberry
114716,strawberry
114378,currant
114378,blackberry
114378,cherry
114378,bell
114378,pepper
114378,olive
114378,asparagus
114378,spice
114378,ginger
114378,oak
114378,vanilla
114378,black
114378,cherry
114378,plum
114378,smoke
114378,toast
114378,tar
106179,currant
106179,blackberry
106179,cherry
106179,bell
106179,pepper
106179,olive
106179,asparagus
106179,spice
106179,ginger
106179,oak
106179,vanilla
115949,ripe
115949,cherry
115949,plum
115949,strawberry
115949,raspberry
115949,mushroom
113608,berry
113608,cherry
113608,plum
113608,earth
113608,leather
113608,herb
17220,apple
17220,pear
17220,peach
17220,apricot
17220,lemon
17220,lime
17220,orange
17220,pineapple
17220,kiwi
17220,butter
17220,cream
17220,vanilla
17220,ripe
17220,cherry
17220,plum
17220,strawberry
17220,raspberry
17220,mushroom
115929,apple
115929,peach
115929,citrus
113605,ripe
113605,cherry
113605,plum
113605,strawberry
113605,raspberry
113605,mushroom
116719,smoke
116719,pear
116719,lime
116719,marzipan
116719,blood
116719,orange
116719,apricot
116719,tobacco
116719,tea
116719,cinnamon
116719,chocolate
116389,apple
116389,pear
116389,peach
116389,apricot
116389,lemon
116389,lime
116389,orange
116389,pineapple
116389,kiwi
116389,butter
116389,cream
116389,vanilla
116820,cherry
116820,strawberry
116820,raspberry
116820,licorice
116820,anise
116820,black
116820,currant
116820,blackberry
116820,dust
116820,leather
116820,currant
116820,blueberry
116820,blackberry
116820,violet
116820,oak
116820,smoke
116820,toast
116820,vanilla
117597,apple
117597,pear
117597,peach
117597,apricot
117597,lemon
117597,lime
117597,orange
117597,pineapple
117597,kiwi
117597,butter
117597,cream
117597,vanilla
117597,ripe
117597,cherry
117597,plum
117597,strawberry
117597,raspberry
117597,mushroom
119647,apple
119647,pear
119647,peach
119647,apricot
119647,lemon
119647,lime
119647,orange
119647,pineapple
119647,kiwi
119647,butter
119647,cream
119647,vanilla
119150,bone-dry
119150,crisp
119150,citrus
119150,mineral
118664,grass
118664,gooseberry
118664,grapefruit
118664,lime
118664,melon
118664,citrus
118664,mineral
118664,flint
9846,apple
9846,pear
9846,peach
9846,apricot
9846,lemon
9846,lime
9846,orange
9846,pineapple
9846,kiwi
9846,butter
9846,cream
9846,vanilla
9846,ripe
9846,cherry
9846,plum
9846,strawberry
9846,raspberry
9846,mushroom
118759,currant
118759,black
118759,cherry
118759,plum
118759,bell
118759,pepper
118759,olive
118759,oak
118759,smoke
118759,toast
118759,tar
118759,blackberry
118759,cherry
118759,asparagus
118759,spice
118759,ginger
118759,vanilla
116862,honey
116862,citrus
116862,pear
116862,banana
116862,peach
116862,green
116862,apple
116862,honeysuckle
69259,mint
69259,bitter
69259,chocolate
69259,blueberry
69259,black
69259,berry
69259,currant
69259,black
69259,cherry
69259,plum
69259,bell
69259,pepper
69259,olive
69259,oak
69259,smoke
69259,toast
69259,tar
69259,blackberry
69259,cherry
69259,asparagus
69259,spice
69259,ginger
69259,vanilla
69259,tobacco
69259,raspberry
69259,cassis
69259,violet
69259,pepper
69259,green
69259,bean
117013,currant
117013,blackberry
117013,cherry
117013,bell
117013,pepper
117013,olive
117013,asparagus
117013,spice
117013,ginger
117013,oak
117013,vanilla
117436,citrus
117436,fruit
117436,ripe
117436,fruit
117436,herb
117436,floral
117436,black
117436,pepper
117436,green
117436,pepper
117436,pomegranate
117436,blackberry
117436,raspberry
113997,dark
113997,stone
113997,fruit
113997,black
113997,cherry
113997,smoke
113997,herb
113997,bitter
113997,almond
103835,currant
103835,black
103835,cherry
103835,plum
103835,bell
103835,pepper
103835,olive
103835,oak
103835,smoke
103835,toast
103835,tar
103835,blackberry
103835,cherry
103835,asparagus
103835,spice
103835,ginger
103835,vanilla
110522,ripe
110522,cherry
110522,plum
110522,strawberry
110522,raspberry
110522,mushroom
120320,apple
120320,pear
120320,peach
120320,apricot
120320,lemon
120320,lime
120320,orange
120320,pineapple
120320,kiwi
120320,butter
120320,cream
120320,vanilla
116040,red
116040,fruit
116040,strawberry
116040,raspberry
108847,ripe
108847,cherry
108847,plum
108847,strawberry
108847,raspberry
108847,mushroom
120062,currant
120062,black
120062,cherry
120062,plum
120062,bell
120062,pepper
120062,olive
120062,oak
120062,smoke
120062,toast
120062,tar
120062,blackberry
120062,cherry
120062,asparagus
120062,spice
120062,ginger
120062,vanilla
120062,tobacco
120062,raspberry
120062,cassis
120062,violet
120062,pepper
120062,green
120062,bean
69780,apple
69780,pear
69780,peach
69780,apricot
69780,lemon
69780,lime
69780,orange
69780,pineapple
69780,kiwi
69780,butter
69780,cream
69780,vanilla
115844,ripe
115844,cherry
115844,plum
115844,strawberry
115844,raspberry
115844,mushroom
115216,currant
115216,blackberry
115216,cherry
115216,bell
115216,pepper
115216,olive
115216,asparagus
115216,spice
115216,ginger
115216,oak
115216,vanilla
115216,tobacco
115216,raspberry
115216,cassis
115216,violet
115216,pepper
115216,green
115216,bean
119931,apple
119931,honey
119931,peach
119931,apricot
118388,apple
118388,peach
118388,citrus
114171,ripe
114171,cherry
114171,plum
114171,strawberry
114171,raspberry
114171,mushroom
114346,apple
114346,pear
114346,peach
114346,apricot
114346,lemon
114346,lime
114346,orange
114346,pineapple
114346,kiwi
114346,butter
114346,cream
114346,vanilla
114899,currant
114899,black
114899,cherry
114899,plum
114899,bell
114899,pepper
114899,olive
114899,oak
114899,smoke
114899,toast
114899,tar
114899,blackberry
114899,cherry
114899,asparagus
114899,spice
114899,ginger
114899,vanilla
112511,apple
112511,pear
112511,peach
112511,apricot
